"095年08月31日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
"2707  ","晶華            ","67,000","1,000","66,000",
="03906 ","統一CJ          ","112,000","48,000","64,000",
="03946 ","日盛17          ","1,511,000","1,447,000","64,000",
"2323  ","中環            ","65,000","1,112","63,888",
="03968 ","永豐5P          ","1,080,000","1,017,000","63,000",
="04003 ","凱基3P          ","687,000","624,000","63,000",
="04109 ","永豐6Q          ","808,000","745,000","63,000",
="04175 ","康和CM          ","774,000","711,000","63,000",
"1229  ","聯華            ","110,000","47,000","63,000",
="04149 ","元大AX          ","842,000","780,000","62,000",
="04319P","健策永豐93售03  ","3,611,000","3,549,000","62,000",
="04138 ","康和CJ          ","1,354,000","1,293,000","61,000",
"2344  ","華邦電          ","81,000","20,232","60,768",
="03843 ","永豐4X          ","578,000","518,000","60,000",
="03925 ","第一48          ","722,000","662,000","60,000",
="03976 ","元大91          ","1,075,000","1,015,000","60,000",
="04037 ","永豐6B          ","1,117,000","1,057,000","60,000",
"2615  ","萬海            ","60,000","1,760","58,240",
"2317  ","鴻海            ","291,000","233,000","58,000",
"1314  ","中石化          ","59,000","1,288","57,712",
"1907  ","永豐餘          ","57,000","280","56,720",
="03828 ","凱基2Z          ","426,000","370,000","56,000",
="03932 ","工銀KP          ","254,000","198,000","56,000",
"2612  ","中航            ","54,000","0","54,000",
"1434  ","福懋            ","55,000","1,856","53,144",
"2495  ","普安            ","59,000","6,000","53,000",
"2837  ","萬泰銀          ","107,000","54,000","53,000",
="03839 ","國泰FX          ","107,000","55,000","52,000",
="04035 ","永豐5Z          ","102,000","50,000","52,000",
="04056 ","大華B5          ","705,000","653,000","52,000",
="03922 ","富邦CJ          ","251,000","200,000","51,000",
="04226 ","統一DB          ","1,124,000","1,073,000","51,000",
"2912  ","統一超          ","52,000","1,328","50,672",
"3026  ","禾伸堂          ","70,082","19,709","50,373",
="03837 ","工銀KG          ","50,000","0","50,000",
="03878 ","永昌LJ          ","50,000","0","50,000",
"2809  ","京城銀          ","50,000","0","50,000",
"3031  ","佰鴻            ","50,000","0","50,000",
="03911 ","統一CP          ","985,000","936,000","49,000",
="03988 ","統一CV          ","144,000","95,000","49,000",
"2418  ","雅新            ","691,000","643,896","47,104",
="03509 ","元富DY          ","47,000","0","47,000",
="03928 ","大華LJ          ","1,991,000","1,944,000","47,000",
="04141 ","台証NU          ","2,332,000","2,285,000","47,000",
="04255 ","永豐7J          ","131,000","84,000","47,000",
"2027  ","大成鋼          ","47,000","0","47,000",
"2609  ","陽明            ","67,000","20,448","46,552",
="04105 ","永豐6L          ","482,000","436,000","46,000",
="04115 ","永昌MA          ","1,130,000","1,084,000","46,000",
="04224 ","永豐7D          ","733,000","687,000","46,000",
"2014  ","中鴻            ","46,000","728","45,272",
"2312  ","金寶            ","46,000","848","45,152",
="03874 ","凱基3D          ","1,439,000","1,394,000","45,000",
="03954 ","兆豐D1          ","1,009,000","964,000","45,000",
="03823 ","元大70          ","65,000","21,000","44,000",
"1536  ","和大            ","46,000","2,000","44,000",
"2395  ","研華            ","45,000","1,544","43,456",
"2207  ","和泰車          ","44,000","768","43,232",
"2337  ","旺宏            ","48,000","4,800","43,200",
="04307 ","統一DE          ","277,000","234,000","43,000",
="04086 ","亞東JA          ","1,129,000","1,088,000","41,000",
"2515  ","中工            ","41,000","0","41,000",
"1503  ","士電            ","167,000","126,920","40,080",
="03891 ","永豐5M          ","813,000","773,000","40,000",
="03964 ","統一CQ          ","503,000","463,000","40,000",
="04155 ","日盛30          ","838,000","798,000","40,000",
="04016 ","兆豐E4          ","1,053,000","1,014,000","39,000",
="04204 ","元大BF          ","1,045,000","1,006,000","39,000",
"1201  ","味全            ","39,000","0","39,000",
"1560  ","中砂            ","39,000","0","39,000",
="03836 ","工銀KF          ","38,000","0","38,000",
="04217 ","日盛36          ","487,000","449,000","38,000",
="04274 ","日盛42          ","521,000","483,000","38,000",
"3014  ","聯陽            ","119,000","81,000","38,000",
"2204  ","中華            ","40,000","2,224","37,776",
"9907  ","統一實          ","36,000","0","36,000",
"1520  ","復盛            ","37,000","1,112","35,888",
"2327  ","國巨            ","37,000","1,456","35,544",
="03724 ","凱基2W          ","35,000","0","35,000",
="04156 ","日盛31          ","230,000","195,000","35,000",
"6280  ","崇貿            ","35,000","0","35,000",
="03825 ","凱基CZ          ","554,000","520,000","34,000",
"3189  ","景碩            ","72,000","38,328","33,672",
"2384  ","勝華            ","55,000","21,608","33,392",
="03812 ","兆豐B1          ","33,000","0","33,000",
"1440  ","南紡            ","33,000","0","33,000",
"1718  ","中纖            ","33,000","0","33,000",
="04136 ","康和CG          ","1,085,000","1,053,000","32,000",
"2347  ","聯強            ","33,000","1,368","31,632",
="03855 ","元大81          ","81,000","50,000","31,000",
="03943 ","日盛14          ","1,606,000","1,575,000","31,000",
="04158 ","大華LX          ","335,000","304,000","31,000",
"2838  ","聯邦銀          ","31,000","0","31,000",
="04213 ","日盛32          ","283,000","253,000","30,000",
"2607  ","榮運            ","31,000","1,000","30,000",
"3214  ","元砷            ","30,000","0","30,000",
"2104  ","國際中橡        ","29,000","0","29,000",
